"","week","units.car.pick.2010","units.car.pick.2011","hours.car.pick.2010","hours.car.pick.2011","direct.hours.car.pick.2010","direct.hours.car.pick.2011","indirect.hours.car.pick.2010","indirect.hours.car.pick.2011","rate.car.pick.2011","units.car.putaway.2010","units.car.putaway.2011","hours.car.putaway.2010","hours.car.putaway.2011","direct.hours.car.putaway.2010","direct.hours.car.putaway.2011","indirect.hours.car.putaway.2010","indirect.hours.car.putaway.2011","rate.car.putaway.2010","rate.car.putaway.2011","units.inbound.2010","units.inbound.2011","hours.inbound.2010","hours.inbound.2011","rate.inbound.2010","rate.inbound.2011","units.multis.2010","units.multis.2011","hours.multis.2010","hours.multis.2011","direct.hours.multis.2010","direct.hours.multis.2011","indirect.hours.multis.2010","indirect.hours.multis.2011","rate.multis.2010","rate.multis.2011","units.outbound.2010","units.outbound.2011","hours.outbound.2010","hours.outbound.2011","rate.outbound.2010","rate.outbound.2011","units.receive.2010","units.receive.2011","hours.receive.2010","hours.receive.2011","direct.hours.receive.2010","direct.hours.receive.2011","indirect.hours.receive.2010","indirect.hours.receive.2011","rate.receive.2010","rate.receive.2011","units.returns.2010","units.returns.2011","hours.returns.2010","hours.returns.2011","direct.hours.returns.2010","direct.hours.returns.2011","indirect.hours.returns.2010","indirect.hours.returns.2011","rate.returns.2010","rate.returns.2011","units.shipping.2010","units.shipping.2011","hours.shipping.2010","hours.shipping.2011","rate.shipping.2010","rate.shipping.2011","units.singles.2010","units.singles.2011","hours.singles.2010","hours.singles.2011","direct.hours.singles.2010","direct.hours.singles.2011","indirect.hours.singles.2010","indirect.hours.singles.2011","rate.singles.2010","rate.singles.2011","units.singulate.2011","hours.singulate.2011","rate.singulate.2011","units.static.picking.2010","units.static.picking.2011","hours.static.picking.2010","hours.static.picking.2011","direct.hours.static.picking.2010","direct.hours.static.picking.2011","indirect.hours.static.picking.2010","indirect.hours.static.picking.2011","rate.static.picking.2010","rate.static.picking.2011","units.static.putaway.2010","units.static.putaway.2011","hours.static.putaway.2010","hours.static.putaway.2011","direct.hours.static.putaway.2010","direct.hours.static.putaway.2011","indirect.hours.static.putaway.2010","indirect.hours.static.putaway.2011","rate.static.putaway.2010","rate.static.putaway.2011","all.indirect","indirect.hours.all.2011","all.direct","direct.hours.all.2011","outbound.indirect","indirect.hours.outbound.2011","outbound.direct","direct.hours.outbound.2011","indirect.hours.outbound.2010","direct.hours.outbound.2010","indirect.hours.inbound.2011","direct.hours.inbound.2011","indirect.hours.inbound.2010","direct.hours.inbound.2010","rate.picking.2010","rate.picking.2011","rate.putaway.2010","rate.putaway.2011","hours.problem.solve.singles.2010","hours.problem.solve.singles.2011","hours.problem.solve.multis.2010","hours.problem.solve.multis.2011","hours.problem.solve.carousel.picking.2010","hours.problem.solve.carousel.picking.2011","hours.problem.solve.static.picking.2010","hours.problem.solve.static.picking.2011","hours.problem.solve.carousel.putaway.2010","hours.problem.solve.carousel.putaway.2011","hours.problem.solve.static.putaway.2010","hours.problem.solve.static.putaway.2011","hours.problem.solve.2010","hours.problem.solve.2011"
"32",32,109326,102110,542.4517,427.82,411.1167,365.57,131.335,62.25,238.68,103522,86204,555.608,398.95,411.42,341.7,144.188,57.25,186.32,216.08,369825,614497,8046.921,16987.7199,45.96,36.17,147457,263407,2077.04,4493.305,1674.99,3559.48,402.05,933.825,70.99,58.62,310105,551409,8185.2767,21565,37.89,25.57,266848,470209,2158.96,4718.9316,1505.34,3314.6049,653.62,1404.3267,123.6,99.64,102977,144288,3356.29,6412.0883,2605.01,3696.9249,751.28,2715.1634,30.68,22.5,310105,551409,1139.99,2032.33,272.02,271.32,102624,170042,1070.89,2351.625,706.1,1545.25,364.79,806.375,95.83,72.31,167267,1152.25,145.17,203307,445135,2322.545,8602.48,1920.19,6874.16,402.355,1728.32,87.54,51.74,234171,509035,1976.063,5457.75,1764.26,3889.3,211.803,1568.45,118.5,93.27,9275.9601,9275.9601,23586.9898,23586.9898,3530.77,3530.77,12344.46,12344.46,1300.53,4712.3967,5745.1901,11242.5298,1760.891,6286.03,109.121591658378,60.6009767117372,133.387395123616,101.633855242713,71.09,146.125,73.67,266.99,15.45,10.5,193.57,458.83,8.515,0,8.515,71.5,370.81,953.945
"33",33,112261,98503,532.235,400.09,394.24,345.84,137.995,54.25,246.2,96704,87348.62,531.705,432.75,396.37,330.805,135.335,101.945,181.88,201.85,301330,518083,6922.8678,15024.2764,43.53,34.48,157229,278185,2222.33,4557,1852.59,3743.8,369.74,813.2,70.75,61.05,322207,535811,8386.23,20434.06,38.42,26.22,190199,393627,1339.1998,3534.33,899.3873,2598.41,439.8125,935.92,142.02,111.37,111131,124456,3461.308,6435.4164,2775.147,3358.8133,686.161,3081.3731,32.11,19.34,322207,535811,1114.66,1990.83,289.06,269.14,110195,173938,1144.13,2160.455,765.29,1534.5,378.84,625.955,96.31,80.51,150599,1163,129.49,210044,433044,2416.815,8127.95,2029.51,6905.95,387.305,1222,86.91,53.28,184912,424887,1590.655,4621.78,1372.56,3424.2525,218.095,1194.7775,116.25,91.93,8029.4206,8029.4206,22242.3708,22242.3708,2715.405,2715.405,12530.09,12530.09,1273.88,5041.63,5314.0156,9712.2808,1479.4035,5443.4643,109.291127651278,62.3293277236036,132.690024312558,101.341889354698,75.93,129.875,61.93,276.25,21.3,12.75,172.51,348,4.73,19,4.23,52.08,340.63,837.955
"34",34,115356,100065,517.825,415.92,391.56,353.92,126.265,62,240.59,101855,132675,560.975,603.57,443.18,486.3475,117.795,117.2225,181.57,219.82,331194,563571,7225.375,17640.9544,45.84,31.95,162668,268476,2315.07,4778.06,1859.79,3915.99,455.28,862.07,70.26,56.19,331622,523339,8625.78,20862.14,38.45,25.09,226398,399556,1695.45,3819.43,1160.57,2615.62,534.88,1203.81,133.53,104.61,104796,164015,3375.7,8375.2161,2639.8,4636.3645,735.9,3738.8516,31.04,19.58,331622,523339,1135.23,1942.34,292.12,269.44,114453,170207,1189.83,2282.925,784.48,1637.7,405.35,645.225,96.19,74.56,149790,1104,135.68,213206,415992,2484.705,8270.53,2107.61,6780.89,377.095,1489.64,85.81,50.3,186258,424455,1593.25,4842.7383,1375.1,3404.6558,218.15,1438.0825,116.9,87.65,9556.9016,9556.9016,23831.4878,23831.4878,3058.935,3058.935,12688.5,12688.5,1363.99,5143.44,6497.9666,11142.9878,1606.725,5618.65,109.428382064459,59.4094250240317,133.743225521939,102.294980252954,65.12,129.25,85.48,262.74,17.3,6.5,151.64,360.41,7.32,0,7.42,76.75,334.28,835.65
"35",35,109634,107069,526.47,429.75,400.24,364.75,126.23,65,249.14,109141,135162,594.3292,637.6225,477.51,505.7825,116.8192,131.84,183.64,211.98,335683,655637,7598.1122,17473.553,44.18,37.52,155405,268961,2363.96,5042.73,1879.87,4004.92,484.09,1037.81,65.74,53.34,320565,524460,8724.0206,20233.055,36.75,25.92,230655,501220,1912.74,4486.99,1358.62,3262.72,554.12,1224.27,120.59,111.71,105028,154417,3471.841,7345.73,2694.99,4029.53,776.851,3316.2,30.25,21.02,320565,524460,1095.87,1933.75,292.52,271.21,108967,170014,1115.02,2151.735,742.13,1559.34,372.89,592.395,97.73,79.01,146159,1077.25,135.68,208705,416435,2493.5206,7484.035,2086.095,5960.575,407.4256,1523.46,83.7,55.64,183337,494497,1619.202,5003.2105,1482.1978,3774.6755,137.0042,1228.535,113.23,98.84,9119.51,9119.51,23462.293,23462.293,3218.665,3218.665,11889.585,11889.585,1390.6356,5108.335,5900.845,11572.708,1584.7944,6013.3178,105.410592999859,66.1508999802244,132.131862428684,111.625180181721,79.08,113.13,96.64,312.57,19.45,9.75,160.4692,318.05,4.52,3,5.77,57,365.9292,813.5
"36",36,105046,114546,495.71,462.64,366.56,391.14,129.15,71.5,247.59,142503,122868,815.295,601.3,646.58,484.155,168.715,117.145,174.79,204.34,387145,570494,8458.1274,15366.4052,45.77,37.13,146931,294528,2148.21,5494.06,1666.99,4447.72,481.22,1046.34,68.4,53.61,301022,568408,8217.07,23561.7,36.63,24.12,280202,447612,2240.5864,4319.8816,1530.4964,2941.2175,710.09,1378.6641,125.06,103.62,106943,122882,3650.181,5640.8761,2821.773,3242.4761,828.408,2398.4,29.3,21.78,301022,568408,1152.045,3315.26,261.29,171.45,107087,189407,1201.735,2630.36,732.28,2015.84,469.455,614.52,89.11,72.01,153618,1027,149.58,197113,444991,2315.81,8169.99,1893.15,6584.29,422.66,1585.7,85.12,54.47,195842,448396,1752.065,4804.3475,1591.71,3459.4275,160.355,1344.92,111.78,93.33,8557.1891,8557.1891,23566.2661,23566.2661,3318.06,3318.06,13438.99,13438.99,1502.485,4658.98,5239.1291,10127.2761,1867.568,6590.5594,107.471759048486,64.8165159401017,131.787127633055,105.679106897,76.13,130.63,87.35,304.74,21.75,12,136.63,332.75,1.56,0,1.56,78.17,324.98,858.29
"37",37,115615,81969,555.465,344.59,416.27,318.09,139.195,26.5,237.87,106032,101392,671.1979,570.95,469.0089,458.86,202.189,112.09,157.97,177.58,399598,482815,10417.4578,16038.3734,38.36,30.1,156906,198474,2518.22,4265.24,1855.09,3092.02,663.13,1173.22,62.31,46.53,324281,413682,9664.683,18701.845,33.55,22.12,279157,362886,2862.6537,4387.38,1950.9054,2405.98,911.7483,1981.4,97.52,82.71,120441,119929,4294.1099,6209.3834,3326.2719,3332.78,962.188,2876.6034,28.05,19.31,324281,413682,1621.17,2484.75,200.03,166.49,114714,129434,1363.5,1742.36,896.88,1191.75,466.62,550.61,84.13,74.29,125818,959.75,131.09,207515,316884,2539.105,6603.835,2026.06,5399.665,513.045,1204.17,81.73,47.98,256061,400997,2589.4963,4870.66,2192.8257,3553.9875,396.6706,1316.6725,98.88,82.33,9241.2659,9241.2659,19753.1325,19753.1325,2954.5,2954.5,10001.525,10001.525,1781.99,5194.3,6286.7659,9751.6075,2472.7959,7939.0119,104.418384460523,57.4019292141744,111.047825337316,92.3235954065065,80.87,114.12,85.09,291.48,35.82,2.5,111.05,263,8.63,0,15.18,94.67,336.64,765.77
"38",38,115781,76665,571.09,558.5,418.31,441.5,152.78,117,137.27,105979,24291,567.9559,280.5,417.005,163.5,150.9509,117,186.6,86.6,474928,430151,12117.5631,18499.5981,39.19,23.25,158954,183896,2475.93,8711.25,1866.02,5953.75,609.91,2757.5,64.2,21.11,344831,359678,10681.01,24886.6,32.28,14.45,343215,309567,3549.16,5882.25,2432.12,3346.15,1117.04,2536.1,96.7,52.63,131713,120584,4578.692,6494.5981,3542.186,3903.72,1036.506,2590.8781,28.77,18.57,344831,359678,1700.12,2607,202.83,137.97,117493,154349,1467.72,3695.85,945.58,2471.85,522.14,1224,80.05,41.76,50743,887.75,57.16,224823,312394,2991.3,8426.25,2407.59,7303.25,583.71,1123,75.16,37.07,328715,384731,3421.7552,5842.25,2987.22448,3741,434.53072,2101.25,96.07,65.85,12566.7281,12566.7281,27324.72,27324.72,5221.5,5221.5,16170.35,16170.35,1868.54,5637.5,7345.2281,11154.37,2739.02762,9378.53548,95.6110925530332,43.3021508667464,108.953753568773,66.8036421542607,89.68,332.5,93.76,1621,28.825,0,134.275,2,3.58,40.75,3.58,778.25,353.7,2774.5
"39",39,102922,104739,498.01,582,377.46,590,120.55,116.25,179.96,79770,15600,525.4551,114,356.164,80.5,169.2911,33.5,151.81,136.84,436036,359669,11363.7533,16765.22,38.37,21.45,166065,310264,2728.39,16981.02,1820.07,9856.42,908.32,7774.01,60.87,18.27,333479,657644,10423.995,44515.37,31.99,14.77,314290,268145,3059.91,4790.25,2179.21,2852.5,880.7,1937.75,102.71,55.98,121746,91524,4134.494,5299.55,3285.779,3095.34,848.765,2204.21,29.45,17.27,333479,657644,1367.87,4599.25,243.79,142.99,120457,340624,1663.29,7681.5,859.87,5722.5,803.42,2395.3,72.42,44.34,169262,2574.5,65.75,229675,471045,3003.075,12097.1,2510.69,9835.85,492.385,3058.5,76.48,38.94,301203,429555,3643.8942,6561.42,3128.7812,4059.6075,515.113,2501.8125,82.66,65.47,20021.3325,20021.3325,36092.7175,36092.7175,13344.06,13344.06,26004.77,26004.77,2324.675,5568.09,6677.2725,10087.9475,2413.8691,8949.9342,94.998264823619,45.4120560607614,91.3746900505554,66.6856916868152,84.57,619,87.15,2647.25,16.05,0,128.84,0,40.3,0,35.3,872,392.21,4138.25
"40",40,95020,70817,502.12,491,361.2,777.7,140.92,215.42,144.23,64764,34679,407.25,222.8875,295.31,175.5,111.94,47.3875,159.03,155.59,414193,726724,12560.015,32774.0555,32.98,22.17,167262,315316,3403.02,14241.375,2655.45,11698.2,747.57,5480.195,49.15,22.14,342485,585964,12131.35,38752.875,28.23,15.12,300534,603982,3287.555,11178.2,2226.05,7147.85,1061.505,4030.35,91.42,54.03,113659,122742,4260.43,9295.04,3218.195,5256.53,1042.235,4038.51,26.68,13.21,342485,585964,1630.75,3470.25,210.02,168.85,124599,261099,1866.08,6382.25,1276.02,5394.02,590.06,2854.31,66.77,40.91,133019,1759,75.62,241863,512272,3419.49,12409,3044.07,10666,375.42,1743,70.73,41.28,334190,804353,4604.78,12077.928,3976.77,8430.6875,628.01,3647.2405,72.57,66.6,22056.413,22056.413,49546.4875,49546.4875,10292.925,10292.925,28535.92,28535.92,1853.97,7336.74,11763.488,21010.5675,2843.69,9716.325,85.9042587100706,45.2006976744186,79.5992841224015,68.2094613970919,104.26,547,116.55,2555.625,21.5,0,101.1,40,23.75,0,48.76,979.25,415.92,4121.875
"41",41,97683,62741,551.16,474.08,396.83,746.41,154.33,278.83,132.34,101420,84779,415.475,490,350.8,375.36,64.675,114.64,244.11,173.02,637089,1034833,17857.793,44801.11,35.68,23.1,156863,317909,3123.7,11296,2545.94,9095.69,577.76,5058.01,50.22,28.14,372735,524854,13574.21,30775.83,27.46,17.05,494135,869268,5322.61,15939.7,3851.36,10076.55,1471.25,5863.15,92.84,54.53,142954,165565,5216.683,12703.66,4078.753,8129.82,1137.93,4573.84,27.4,13.03,372735,524854,1795.3,2910.66,207.62,180.32,120645,210331,1828.27,4854.75,1297.56,4208.06,530.71,2474.96,65.99,43.32,126687,1387.75,91.29,273456,451348,4278.88,9852.59,3510.44,8616.09,768.44,1236.5,63.91,45.81,454257,1001837,6903.025,15667.75,6264.6,11150.31,638.425,4504.19,65.81,63.94,24104.12,24104.12,52398.29,52398.29,9048.3,9048.3,22666.25,22666.25,2031.24,7750.77,15055.82,29732.04,3312.28,14545.513,76.8397363168835,49.7826501669948,75.9277174284348,67.2504525692005,101.06,457.25,103.59,2208.75,25,0,225.99,0,10,0,20,1149.375,485.64,3815.375
"42",42,86636,65377,467.64,466.25,339.95,680.95,127.69,252.94,140.22,124875,142482,732.775,1072.375,557,734.125,175.775,338.25,170.41,132.87,673517,1098077,18857.456,49697.9948,35.72,22.09,174121,309409,3290.81,11161.91,2415.84,9194.25,874.97,4938.97,52.91,27.72,357903,549650,13734.25,31071.81,26.06,17.69,552960,894742,5750.75,15584.1,4354.5,9847.65,1396.25,5736.45,96.15,57.41,120557,203335,4215.556,15202.5298,3320.12,10307.3778,895.436,4895.152,28.6,13.38,357903,549650,2143.25,2957.5,166.99,185.85,131155,236647,1920.72,5102.83,1297.53,4462.86,623.19,2560.69,68.28,46.38,125073,1372.5,91.13,269894,481410,4539.41,10010.82,3654.01,8395.07,885.4,1615.75,59.46,48.09,455680,1096576,8158.375,17838.99,7186.75,12837.555,971.625,4996.185,55.85,61.47,25334.387,25334.387,56459.8378,56459.8378,9368.35,9368.35,22733.13,22733.13,2511.25,7707.33,15966.037,33726.7078,3439.086,15418.37,71.2056001038536,52.1889230481423,65.2958278737846,65.5192261372989,103.04,461.75,101.12,2108.5,27,0,94.48,60,0,18.75,51,1069.875,376.64,3718.875
"43",43,87947,74013,509.165,438.33,337.92,697.83,171.245,249.665,168.85,96466,182721,711.975,1170,530.75,933.5,181.225,236.5,135.49,156.17,380272,1060073,12460.32,51005.35,30.52,20.78,168524,319177,3254.24,12016.4,2599.52,10516.27,654.72,4592.37,51.79,26.56,349989,568686,13523.15,32714.46,25.88,17.38,239721,858231,1980.78,15037.45,1570.05,9312.5,410.73,5724.95,121.02,57.07,140551,201842,5319.01,15620.9,4168.24,10535.72,1150.77,5085.18,26.42,12.92,349989,568686,1768.33,2982.75,197.92,190.66,127167,242103,1828.38,5248.55,1301.9,4877.9,526.48,2199.03,69.55,46.13,130923,1282,102.12,261131,489276,4586.915,10746.43,3748.13,9092.01,838.785,1654.42,56.93,45.53,263423,1012538,4448.555,19177,3669.83,13877.75,778.725,5292.5,59.22,52.8,25034.615,25034.615,59843.48,59843.48,8695.485,8695.485,25184.01,25184.01,2191.23,7987.47,16339.13,34659.47,2521.45,9938.87,68.4993171221802,50.362189264678,69.7387671421346,58.7437460067823,117.34,267,88.87,2021.4,37,0,88.37,20,56,0,69.5,884,457.08,3192.4
"44",44,87688,80784,545.425,478.045,365.61,757.78,179.815,265.69,168.99,109132,176172,577.875,1218.471,454.75,822.873,123.125,380.598,188.85,144.58,389736,934614,10255.866,44234.631,38,21.13,163216,326704,3964.24,12336.08,3230.74,11124.07,761.5,4885.25,41.17,26.48,346003,583105,14803.41,35040.455,23.37,16.64,260396,761872,1924.07,12786.6,1511.38,7873.85,412.69,4912.75,135.34,59.58,129340,172742,4657.926,13176.71,3707.21,8691.57,950.716,4485.14,27.77,13.11,346003,583105,1635.25,3076.95,211.59,189.51,125831,250900,2229.25,5386.13,1346.25,5099.38,883,2516,56.45,46.58,137038,1370.75,99.97,258144,492893,4564.085,12392.5,3997.71,10246.99,566.375,2145.51,56.56,39.77,295824,898420,3095.995,17052.85,2498.75,11276.46,597.245,5776.39,95.55,52.68,25367.328,25367.328,55892.973,55892.973,9812.45,9812.45,27228.22,27228.22,2390.69,8940.31,15554.878,28664.753,2083.776,8172.09,67.6839853528029,44.5728599682453,110.226001464396,58.8130436764808,104.5,231.5,153,2045.25,39.75,0,334.6,27.75,41.75,0,41.75,1340.48,715.35,3644.98
"45",45,97567,94142,515.125,629.785,357.18,856.84,157.945,288.07,149.48,92310,133158,546.219,1200.5,398.3765,758.38,147.8425,442.12,169,110.92,513091,809966,12181.6031,37090.91,42.12,21.84,171271,365749,4174.1,13131.5,2771.74,11895.74,1402.36,5236.86,41.03,27.85,384670,652223,15399.31,41692.455,24.98,15.64,380673,640167,3013.63,9908.61,2499.15,6119.78,514.48,3788.83,126.32,64.61,132418,169799,4566.778,11943.95,3599.93,7315.02,966.848,4628.93,29,14.22,384670,652223,1542.71,3267.75,249.35,199.59,133517,277004,2322.83,6357.75,1382.75,5839.5,940.08,2841.08,57.48,43.57,185517,1668.5,111.19,286361,559370,4735.765,16637.17,3976.18,12721.67,759.585,3915.5,60.47,33.62,364585,751242,4054.9761,14037.85,3463.8599,8804.35,591.1162,5233.5,89.91,53.52,26374.89,26374.89,54311.28,54311.28,12281.51,12281.51,31313.75,31313.75,3259.97,8487.85,14093.38,22997.53,2220.2867,9961.3164,73.1167478275111,37.8475533178838,99.2992016356794,58.037779680871,107.5,293.5,225.87,1514.5,46,0,216.58,166.5,46.5,63.25,47.5,1340,689.95,3377.75
"46",46,96981,106595,536.205,820.92,399.33,976.25,136.875,380.875,129.85,83199,98956,482.125,795.4,337.5,641.625,144.625,153.775,172.57,124.41,518788,802232,13124.2228,36380.82,39.53,22.05,218931,390954,4773.13,16015.74,3254.72,14551.71,1518.41,6007.66,45.87,24.41,422787,675272,18979.765,52707.98,22.28,12.81,379612,620734,3005.8728,9218.9,2384.3077,5771.4,621.5651,3447.5,126.29,67.33,139176,181498,4838.65,13184.4,3915.09,8972.62,923.56,4211.78,28.76,13.77,422787,675272,1907.3,3951.25,221.67,170.9,158916,280964,3214.295,7025.75,1979.92,6847.67,1234.375,3392.375,49.44,39.99,163547,2572.33,63.58,322975,548128,6081.64,22321.99,4878.14,17453.33,1203.5,4868.66,53.11,24.56,399909,769529,4797.575,13182.12,4061.2,8753.5,736.375,4428.62,83.36,58.38,26891.245,26891.245,63968.105,63968.105,14649.57,14649.57,39828.96,39828.96,4093.16,10512.11,12241.675,24139.145,2426.1251,10698.0977,63.4581196749093,28.2904353860426,91.5029263026308,62.134412971686,133.5,221,246.75,1295,37.25,0,236.625,241.66,51.75,10,106.5,1012.25,812.375,2779.91
"47",47,105400,110127,551.645,726.75,416.56,1031.06,135.085,247.335,151.53,71700,77771,368,485.25,264.5,355.5,103.5,129.75,194.84,160.27,260231,541261,6861.541,23464.79,37.93,23.07,189301,428769,5152.29,19512.23,3708.31,17950.81,1443.98,6516.23,36.74,21.97,429061,748538,20018.73,71946.955,21.43,10.4,152979,406597,1056.3827,5419.25,797.338,3141.85,259.0447,2277.4,144.81,75.03,107252,134664,3625.09,9279.89,2954.84,6191.67,670.25,3088.22,29.59,14.51,429061,748538,1856.58,4834.25,231.1,154.84,155868,309625,3378.24,8324.225,2042.99,7895.475,1335.25,3806.99,46.14,37.2,183299,2771.5,66.14,294688,614107,6445.245,35778,5365.41,26335,1079.835,9443,45.72,17.16,163929,554529,1812.0683,8280.4,1521.9058,5488.75,290.1625,2791.65,90.47,66.97,28300.575,28300.575,68390.115,68390.115,20013.555,20013.555,53212.345,53212.345,3994.15,11533.27,8287.02,15177.77,1322.9572,5538.5838,57.1808331987497,19.8394455516063,108.083310967826,72.1338406164974,119.5,295.625,292,1728,32.725,0,169.835,234.5,15,5,52.25,745.5,681.31,3008.625
"48",48,135771,147616,792.35,916.5,597.25,808.5,195.1,108,161.06,82518,79000,438.115,695.098,313.83,471.56,124.285,223.58,188.35,113.65,387274,572849,9640.72,28170.952,40.17,20.33,255641,513071,7420.808,20415.75,4965.99,14262.75,2454.818,5978,34.45,25.13,602780,972983,28433.108,72051.25,21.2,13.5,242125,389280,1860.39,5294.6,1363.155,3178.75,497.235,2115.85,130.15,73.52,145149,183569,5098.99,13816.75,4126.56,9278.15,972.43,4538.6,28.47,13.29,602780,977676,2618.25,5711.5,230.22,171.18,233207,442313,5034,10686,3302,7794,1732,2892,46.33,41.39,241233,3453.75,69.85,403840,833100,8603.3,30867.75,6959.725,24216.5,1643.575,6651.25,46.94,26.99,235337,563120,2243.225,8364.504,1739.06,5440.36,504.165,2924.44,104.91,67.32,25431.72,25431.72,65450.57,65450.57,15629.25,15629.25,47081.75,47081.75,6025.493,15824.965,9802.47,18368.82,2098.115,7542.605,57.4320031078212,30.8554079457593,118.543340270163,70.8772857792208,172.5,187,340.098,2366,72.875,0,281,279.5,30.5,12.75,69.42,713.5,966.393,3558.75
"49",49,119647,142940,845.69,752.35,641.69,720.6,204,31.75,189.99,29254,50594,155.0422,284.33,97.0572,210.75,57.985,75.58,188.68,177.94,434028,622058,12416.80361,28675.22,34.95,21.69,263390,510287,10107.76,18088,6632.02,13253.75,3475.74,4834.25,26.06,28.21,606260,1008144,40291.83,65305.05,15.05,15.44,255927,417174,1687.12,4913.45,1273.03,3059.75,414.09,1853.7,151.69,84.9,178101,204884,7127.94,14994.99,5572.04,9979.22,1555.9,5015.77,24.99,13.66,606260,1008144,3565.33,5450.7,170.04,184.96,257185,485757,7677.91,10441,5204.08,7522,2473.83,2919,33.5,46.52,260614,2911.5,89.51,447897,881188,13170,27536.5,10224.59,23748.22,2945.41,3788.28,34.01,32,364653,636399,3446.70141,8482.45,2727.94641,5659.65,718.755,2822.8,105.8,75.03,21341.13,21341.13,64153.94,64153.94,11573.28,11573.28,45244.57,45244.57,9098.98,22702.38,9767.85,18909.37,2746.73,9670.07361,40.4934755263565,36.2025320930331,109.365641381675,78.3632074718426,260,209.5,400,1852,76.5,0,318,290.75,13,3,67.0081,618.5,1134.5081,2973.75
"50",50,125190,146823,914.75,768.3,716.5,725.55,198.25,42.75,191.1,1535,67896,7.25,369.13,4,259.63,3.25,109.5,211.72,183.94,295419,439771,9436.26,22978.69,31.31,19.14,289076,553565,9826.24,18318.15,7791.66,13082.2,2034.58,5235.95,29.42,30.22,757815,1071102,48183.24,66552.94,15.73,16.09,143210,241863,932.5202,2860.45,649.8275,1668.2,282.6927,1192.25,153.57,84.55,152209,197908,6094.7,14192.36,4818.9,9490.05,1275.8,4702.31,24.97,13.95,757815,1071102,5629.25,5750.25,134.62,186.27,342618,515552,9229.75,10759,6750,7591.5,2479.75,3167.5,37.12,47.92,316891,3512,90.23,578736,920657,16044.42,27185.74,13361.42,23210,2683,3975.74,36.07,33.87,250367,424322,2401.7898,5556.75,1877.4592,3546.42,524.3306,2010.33,104.24,76.36,20436.33,20436.33,59573.55,59573.55,12421.94,12421.94,44609.25,44609.25,7395.58,28619.58,8014.39,14964.3,2086.0733,7350.1867,41.507102057471,38.1869668927998,104.565312702596,83.0624312338421,260.5,283.5,398,1904.2,83,0,305,166,0,16,36.992,405.5,1083.492,2775.2
"51",51,67363,124674,698.75,681.5,533,632.75,165.75,48.75,182.94,8888,44407,51.8357,243.5,44.7823,150,7.0534,93.5,171.46,182.37,189081,335774,6942.4303,19580.25,27.24,17.15,182621,489239,7210.03,16558.33,5410.41,11967.33,1799.62,4591,25.33,29.55,436341,917690,35162.78,56754.33,12.41,16.17,61009,159304,389.88,1926.55,301,1183.8,88.88,742.75,156.48,83.69,128072,176470,5018.55,13187.2,4073.25,8504.95,945.3,4682.25,25.52,13.38,436341,917690,3786.08,5047.75,115.25,181.8,213832,427414,6334,9266,4166.5,6375,2167.5,2891,33.76,46.13,271509,2949,92.07,298081,786677,11912.03,22214.25,10342.28,19172.25,1569.75,3042,25.02,35.41,164274,329856,1482.1646,4223,900.1542,2527.75,582.0104,1695.25,110.83,78.11,17786.5,17786.5,50513.83,50513.83,10572.75,10572.75,38147.33,38147.33,5702.62,20452.19,7213.75,12366.5,1623.2438,5319.1865,28.9786991764189,39.8043741742463,112.882637637033,83.7933504981529,282,300,465.12,1654.5,82,0,339.5,204.25,0,15,10.6313,374.75,1179.2513,2548.5
"52",52,67238,106978,415.775,472.23,308.65,445.23,107.125,27,226.54,36248,71607,177.6126,349,113.9597,244.5,63.6529,104.5,204.08,205.18,240121,242321,8722.2329,14358.25,27.53,16.88,155819,341560,3611.06,9967.75,2759.39,7287,851.67,2689.75,43.15,34.27,461579,493301,17842.46,25099.75,25.87,19.65,96671,181517,635,2247.1,470.5,1437.47,164.5,809.63,152.24,80.78,143450,168301,6407.461,11968.72,4965.35,7284.28,1442.111,4684.44,22.39,14.06,461579,640119,2074.58,3419.75,222.49,187.18,207440,301610,3422.17,5339.82,2319.75,3911.82,1102.42,1428,60.62,56.48,180407,2031.5,88.8,284868,543761,5424.205,11746.59,4950.08,10607.34,474.125,1139.25,52.52,46.29,176524,387502,1502.1593,4675.97,1089.939,2706.38,412.2203,1969.59,117.51,82.87,12852.16,12852.16,33924.02,33924.02,5284,5284,22251.39,22251.39,2535.34,10337.87,7568.16,11672.63,2082.4842,6639.7487,60.2923297682526,53.2571066600539,126.667198088026,91.3655205901727,139.5,59.5,243.75,1086.5,46.5,0,162.75,139.5,3.5,13,9.6263,409,605.6263,1707.5
